mjd_utc,ra_deg,dec_deg,ra_sigma_arcsec,dec_sigma_arcsec,mag,mag_sigma,filter,obscode,exposure_id,observation_id,healpix_id,pred_ra_deg,pred_dec_deg,pred_vra_degpday,pred_vdec_degpday,delta_ra_arcsec,delta_dec_arcsec,distance_arcsec,dataset_id
56536.147582436446,325.89545901856513,0.887580963600349,0.12332600000000002,0.12413600000000001,23.355064,0.187982,g,W84,c4d_130901_033231_ooi_g_ls9,c4d.229348.60.921,5016584167,325.8954519391551,0.8876010457331891,-0.21303201801966004,-0.10169788755693408,-0.02548587603996566,0.07229567822437666,0.07665532664276936,NSC_DR2
56538.178781808354,325.48768646200216,0.6772951740780276,0.210335,0.210637,22.9906,0.133922,g,W84,c4d_130903_041726_ooi_g_ls9,c4d.230099.62.1087,5016914640,325.48769148759214,0.6772874642596831,-0.2070909293604647,-0.10529564090853821,0.01809212394618953,-0.027755346040292395,0.03313062708726994,NSC_DR2
56543.08637994714,324.56237326341983,0.1437257519017763,0.221746,0.222133,23.233826,0.189381,g,W84,c4d_130908_020423_ooi_g_ls9,c4d.231472.39.455,5005498677,324.56237100662895,0.14374021743752596,-0.1879474552628123,-0.11158655895661773,-0.008124447163027071,0.052075928698769314,0.05270586853983973,NSC_DR2
56544.03913167538,,,,,,,Y,W84,c4d_130909_005620_ooi_Y_d2,nan,5005483610,324.3945596713101,0.03699698078603986,-0.1824021236584198,-0.11242920446266332,,,,NSC_DR2
56545.1571423267,324.20159276060446,-0.0892073519733218,0.099552,0.099535,22.96406,0.133294,r,W84,c4d_130910_034617_ooi_r_ls9,c4d.232320.59.526,5005440095,324.20157481728916,-0.08919621097297029,-0.1783287090598066,-0.1132634978019936,-0.06459593507770478,0.04010760126545998,0.0760344947959187,NSC_DR2
56545.170104883146,324.1992303845884,-0.0906404754640386,0.116021,0.11558300000000002,22.977009,0.122804,i,W84,c4d_130910_040457_ooi_i_d2,c4d.232329.59.725,5005440094,324.1992646769383,-0.09066446927152506,-0.17808532448636383,-0.11327174480918797,0.12345245957021689,-0.08637770695127944,0.1506704345713471,NSC_DR2
56546.16031323466,,,,,,,r,W84,c4d_130911_035051_ooi_r_ls9,nan,5005435054,324.03467751540256,-0.20313854724569494,-0.17309583831314815,-0.11385433945694434,,,,NSC_DR2
56546.16168216057,324.03446490479416,-0.2032787152401012,0.11048,0.111054,22.76059,0.119774,i,W84,c4d_130911_035249_ooi_i_d2,c4d.232752.40.1219,5005435054,324.03444057147135,-0.20329440819070757,-0.17306955335052457,-0.11385486404581216,-0.08759996212575061,-0.05649462218297874,0.10423674535650387,NSC_DR2
56547.17895786278,,,,,,,g,W84,c4d_130912_041741_ooi_g_ls9,nan,5005419410,323.87045934991465,-0.31937844417283245,-0.16724890010525847,-0.11430940652087573,,,,NSC_DR2
56548.111637268215,323.72586668794816,-0.4261697304447541,0.11655600000000002,0.11677800000000002,22.793283,0.193352,i,W84,c4d_130913_024045_ooi_i_d2,c4d.233468.43.240,5004717316,323.7258448247846,-0.42616711082078873,-0.16268506167471328,-0.11463133769028484,-0.07870738884321327,0.009430646275299104,0.07926819933850997,NSC_DR2
56548.12309479388,,,,,,,z,W84,c4d_130913_025715_ooi_z_ls9,nan,5004717312,323.72398110334296,-0.4274805188094718,-0.16262236166790045,-0.11462997425155899,,,,NSC_DR2
56558.17507436965,,,,,,,z,W84,c4d_130923_041206_ooi_z_ls9,nan,5004364319,322.4981867259153,-1.572380146307423,-0.09626784206064672,-0.11105755856871626,,,,NSC_DR2
56559.04048992507,,,,,,,g,W84,c4d_130924_005818_ooi_g_ls9,nan,5001566256,322.4256201334435,-1.6682661544121051,-0.09111205063870804,-0.11043221669609131,,,,NSC_DR2
56562.10562703712,,,,,,,g,W84,c4d_130927_023206_ooi_g_a1,nan,5001477171,322.2074498622686,-2.001384039387853,-0.06871860847260929,-0.1067585256104658,,,,NSC_DR2
